Unit,PlantGroup,Specie,Tto,DroughtNum,Sp,Specie_number,tto_number,ST,Pot,PotN,pH,rootN,rootC,leafN,leafC,soilN,soilC,WSA,shootmass,LDMC,SLA,rootmass,diameter,RTD,SRL,SRSA,PathogensOLD,SaprotrophsOLD,MutualistsOLD,MIXOLD,S_Patho,S_Sapro,S_Mutual,PCo1_Patho,PCo2_Patho,PCo1_Sapro,PCo2_Sapro,PCo1_Mutual_EMF,PCo2_Mutual_EMF,PCo1_Mutual,PCo2_Mutual,SpecieY,Pathogens2,Saprotrophs2,Mutualists2,S_ALL,PCo1_ALL_EMF,PCo2_ALL_EMF,PCo1_ALL,PCo2_ALL,Speciex,Ttox,Phylog_1,Phylog_2,Phylog_3,Phylog_4,CP1_leaft,CP2_leaft,CP1_soilprop,CP2_soilprop,CP1_root,CP2_root,ID_phase1
,Herbs,H_Daucus,Control,0,Daucus,3,500,Daucus_Control,21m,21,7.16,5.43,440.9,14.64,380.73,0.73,7.52,51.6,1819.5,190.17,190.18,2513.573,0.15,343.12,16.18,0.77,7.25101922,75.10192196,1.776354106,15.87070472,4,26,4,0.004812282,0.013673472,0.053810426,-0.005095146,-0.005427149,0.021950694,-0.00594,0.02151,H_Daucus,3.258309343,33.74771002,0.798220361,113,-0.00729,0.01549,-0.00737,0.01552,H_Daucus,Control,86.15432008,54.35756223,20.96090602,-1.845406579,-0.84,-0.35,0.01,2.12,0.71,-0.07,
,Herbs,H_Daucus,Control,0,Daucus,3,500,Daucus_Control,22m,22,6.7,4.95,380.21,8.36,307.74,0.51,6.57,77.37,5565.8,171.8,215.68,1648.287,0.15,225.95,26.19,1.21,22.27859779,44.51107011,4.151291513,29.05904059,4,14,3,0.007609565,0.013371685,0.007787432,-0.001972489,-0.000162547,0.023898535,-0.00028,0.02375,H_Daucus,6.434852118,12.85638156,1.199040767,83,0.00057,0.00996,0.00057,0.00995,H_Daucus,Control,86.15432008,54.35756223,20.96090602,-1.845406579,-1.45,1.6,-1.23,1.71,1.59,-0.63,
,Herbs,H_Daucus,Control,0,Daucus,3,500,Daucus_Control,23m,23,6.95,4.9,462.01,14.27,417.77,1.4,19.48,37.35,3450.6,153.88,218.72,2767.473,0.16,306.22,16.52,0.82,25.24731183,49.50537634,9.247311828,16,9,26,7,0.004050518,0.016557404,0.009398684,0.009558213,-0.001181538,0.020586305,-0.0014,0.0203,H_Daucus,7.529502309,14.76398153,2.757824525,132,0.00246,0.00798,0.00246,0.00798,H_Daucus,Control,86.15432008,54.35756223,20.96090602,-1.845406579,-0.17,-0.22,6.54,1.2,0.77,-0.02,
,Herbs,H_Daucus,Control,0,Daucus,3,500,Daucus_Control,24m,24,6.77,6.13,455.2,11.8,416.39,835,10.4675,46.61,4076.9,179.98,189.86,3972.467,0.17,251.64,17.53,0.93,26.51265127,33.16831683,11.22112211,29.09790979,6,16,8,-0.005441668,0.026091227,-0.014195371,-0.006410018,0.002318069,0.020259585,0.00238,0.01997,H_Daucus,6.195372751,7.750642674,2.622107969,118,0.00166,0.00146,0.00166,0.00143,H_Daucus,Control,86.15432008,54.35756223,20.96090602,-1.845406579,-0.24,0.01,1.39,0.79,1.04,0.14,
,Herbs,H_Daucus,Control,0,Daucus,3,500,Daucus_Control,25m,25,6.71,5.3525,434.58,14.58,408.36,0.7,8.3,26.3,4003.5,187.23,219.34,3837.1,0.2,827.7,2.24,0.18,21.25307125,33.16953317,8.968058968,36.60933661,5,6,5,-0.005489034,0.016103435,0.000693921,-0.000970865,-0.002351481,0.026083566,-0.00259,0.02599,H_Daucus,5.034924331,7.857974389,2.124563446,63,0.00279,0.00703,0.00281,0.00701,H_Daucus,Control,86.15432008,54.35756223,20.96090602,-1.845406579,-0.17,0.04,0.23,-0.26,-0.61,1.3,
,Herbs,H_Daucus,Drought,1,Daucus,3,1000,Daucus_Drought,26m,26,6.7,5.45,498.24,10.21,396.01,1.21,14.18,17.38,1149.8,198.7,173.94,3402.88,0.17,274.51,16.61,0.87,13.20987654,32.34567901,7.283950617,47.16049383,3,9,3,-0.008244329,0.013191804,-0.024368579,-0.0143068,-0.017440346,-0.041616245,-0.0189,-0.04587,H_Daucus,1.39051332,3.404808317,0.766731644,65,-0.00354,-0.00947,-0.00358,-0.00958,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,-1.06,-0.66,4.13,-0.5,0.75,0.1,
,Herbs,H_Daucus,Drought,1,Daucus,3,1000,Daucus_Drought,27m,27,7.1,5.58,459.08,8.62,306.69,0.55,7.26,7.88,1217.7,174.64,213.95,3246.667,0.18,314.61,11.95,0.69,14.26138782,42.10302256,9.408258834,34.22733078,7,26,6,-0.002539245,0.015261845,0.006573319,-0.002508285,0.001507837,0.018890484,0.00161,0.0181,H_Daucus,4.268603466,12.6019368,2.816004077,129,-0.00214,0.00332,-0.00217,0.00329,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,-2.17,0.28,-0.6,0.17,0.54,0.15,
,Herbs,H_Daucus,Drought,1,Daucus,3,1000,Daucus_Drought,28m,28,6.57,5.89,499.25,10.49,371.03,0.58,6.98,19.05,2741.7,210.17,160.13,3274.873,0.2,328.15,9.79,0.61,18.72909699,36.12040134,8.026755853,37.12374582,2,5,2,-0.00361325,0.01875738,-0.0063164,-0.005487222,-0.003626416,0.024322945,-0.00397,0.02403,H_Daucus,2.787456446,5.37580886,1.194624191,34,0.00137,0.0049,0.00137,0.00486,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,-1.06,0.08,-0.63,-1.02,0.2,0.23,
,Herbs,H_Daucus,Drought,1,Daucus,3,1000,Daucus_Drought,29m,29,6.86,6.05,488.32,10.04,394.41,0.51,6.54,27.91,1728.5,213.99,174.59,3373.08,0.21,277.44,10.14,0.68,19.59770115,44.36781609,10.22988506,25.8045977,7,16,6,0.005794085,0.02630785,0.011897147,0.0019733,-0.003710591,-0.0135516,-0.004,-0.01602,H_Daucus,4.312089024,9.76226606,2.25088518,108,-0.0001,0.00827,-0.00012,0.00826,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,-0.99,-0.46,-1.07,0.22,0.36,0.15,
,Herbs,H_Daucus,Drought,1,Daucus,3,1000,Daucus_Drought,30m,30,6.97,8.22,363.73,13.55,409.96,0.6,7.67,48.5,1662.3,196.02,165.09,3624.473,0.21,259.7,11.18,0.73,10.46583851,51.33540373,6.677018634,31.52173913,9,38,8,-0.001044056,-0.039972942,0.048346211,-0.001087606,-0.00656665,-0.024249006,-0.00703,-0.02757,H_Daucus,4.258814609,20.88967522,2.717047896,166,-0.00573,0.01831,-0.0058,0.01836,H_Daucus,Drought,86.15432008,54.35756223,20.96090602,-1.845406579,-0.6,-0.68,-0.42,1.41,0.8,-0.02,
